,summer song,summer artist,year summer,winter song,winter artist,year winter
601,Give Me Everything," Pitbull Featuring Ne-Yo, Afrojack & Nayer",2011,Sexy And I Know It, LMFAO,2011
602,Party Rock Anthem, LMFAO Featuring Lauren Bennett & GoonRock,2011,It Will Rain, Bruno Mars,2011
603,E.T., Katy Perry Featuring Kanye West,2011,The One That Got Away, Katy Perry,2011
604,The Lazy Song, Bruno Mars,2011,Good Feeling, Flo Rida,2011
605,The Edge Of Glory, Lady Gaga,2011,Ni**as in Paris, Jay Z Kanye West,2011
606,On The Floor, Jennifer Lopez Featuring Pitbull,2011,Someone Like You, Adele,2011
607,Just Cant Get Enough, The Black Eyed Peas,2011,Moves Like Jagger, Maroon 5 Featuring Christina Aguilera,2011
608,Dirt Road Anthem, Jason Aldean,2011,Without You, David Guetta Featuring Usher,2011
609,Super Bass, Nicki Minaj,2011,5 OClock, T-Pain Featuring Wiz Khalifa & Lily Allen,2011
610,The Show Goes On, Lupe Fiasco,2011,Stereo Hearts, Gym Class Heroes Featuring Adam Levine,2011
611,Till The World Ends, Britney Spears Featuring Nicki Minaj & Ke$ha,2011,We Are Young, Glee Cast,2011
612,How To Love, Lil Wayne,2011,Party Rock Anthem, LMFAO Featuring Lauren Bennett & GoonRock,2011
613,Every Teardrop Is A Waterfall, Coldplay,2011,Dance (A$$), Big Sean Featuring Nicki Minaj,2011
614,Look At Me Now, Chris Brown Featuring Lil Wayne & Busta Rhymes,2011,Work Out, J. Cole,2011
615,Roll Up, Wiz Khalifa,2011,Headlines, Drake,2011
616,Im On One," DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",2011,Red Solo Cup, Toby Keith,2011
617,Dont Wanna Go Home, Jason Derulo,2011,Pumped Up Kicks, Foster The People,2011
618,Blow, Ke$ha,2011,You Make Me Feel..., Cobra Starship Featuring Sabi,2011
619,Good Life, OneRepublic,2011,Mr. Know It All, Kelly Clarkson,2011
620,Honey Bee, Blake Shelton,2011,Set Fire To The Rain, Adele,2011
621,Tonight Tonight, Hot Chelle Rae,2011,"Young, Wild & Free", Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,2011
622,Motivation, Kelly Rowland Featuring Lil Wayne,2011,You Da One, Rihanna,2011
623,Just A Kiss, Lady Antebellum,2011,Not Over You, Gavin DeGraw,2011
624,Down On Me, Jeremih Featuring 50 Cent,2011,I Dont Want This Night To End, Luke Bryan,2011
625,F**k You! (Forget You), Cee Lo Green,2011,Give Me Everything," Pitbull Featuring Ne-Yo, Afrojack & Nayer",2011
626,Who Says, Selena Gomez & The Scene,2011,Make Me Proud, Drake Featuring Nicki Minaj,2011
627,Country Girl (Shake It For Me), Luke Bryan,2011,Just A Kiss, Lady Antebellum,2011
628,Knee Deep, Zac Brown Band Featuring Jimmy Buffett,2011,Marry The Night, Lady Gaga,2011
629,S&M, Rihanna Featuring Britney Spears,2011,The Motto, Drake Featuring Lil Wayne,2011
630,Last Friday Night (T.G.I.F.), Katy Perry,2011,Love You Like A Love Song, Selena Gomez & The Scene,2011
631,Written In The Stars, Tinie Tempah Featuring Eric Turner,2011,In The Dark, Dev,2011
632,F**kin Perfect, P!nk,2011,Super Bass, Nicki Minaj,2011
633,Price Tag, Jessie J Featuring B.o.B,2011,Mistletoe, Justin Bieber,2011
634,For The First Time, The Script,2011,Keep Me In Mind, Zac Brown Band,2011
635,Monster, Paramore,2011,She Will, Lil Wayne Featuring Drake,2011
636,Mean, Taylor Swift,2011,Fly, Nicki Minaj Featuring Rihanna,2011
637,All Of The Lights, Kanye West,2011,Domino, Jessie J,2011
638,She Aint You, Chris Brown,2011,Tattoos On This Town, Jason Aldean,2011
639,Firework, Katy Perry,2011,Rolling In The Deep, Adele,2011
640,Sure Thing, Miguel,2011,God Gave Me You, Blake Shelton,2011
641,You Lie, The Band Perry,2011,Paradise, Coldplay,2011
642,My Last, Big Sean Featuring Chris Brown,2011,Easy, Rascal Flatts Featuring Natasha Bedingfield,2011
643,Just The Way You Are, Bruno Mars,2011,Lotus Flower Bomb, Wale Featuring Miguel,2011
644,Tomorrow, Chris Young,2011,We Owned The Night, Lady Antebellum,2011
645,If I Die Young, The Band Perry,2011,International Love, Pitbull Featuring Chris Brown,2011
646,Dirty Dancer, Enrique Iglesias With Usher Featuring Lil Wayne,2011,All Your Life, The Band Perry,2011
647,Hello, Martin Solveig & Dragonette,2011,Bang Bang Pow Pow, T-Pain Featuring Lil Wayne,2011
648,Born This Way, Lady Gaga,2011,I Like It Like That, Hot Chelle Rae Featuring New Boyz,2011
649,Backseat, New Boyz Featuring The Cataracs & Dev,2011,Drink In My Hand, Eric Church,2011
650,Barefoot Blue Jean Night, Jake Owen,2011,Survivor / I Will Survive, Glee Cast,2011
651,Best Love Song, T-Pain Featuring Chris Brown,2011,It Girl, Jason Derulo,2011
652,Old Alabama, Brad Paisley Featuring Alabama,2011,We Are Young, fun. Featuring Janelle Monae,2011
653,Without You, Keith Urban,2011,Let It Rain, David Nail Featuring Sarah Buxton,2011
654,If Heaven Wasnt So Far Away, Justin Moore,2011,Party, Beyonce Featuring Andre 3000,2011
655,I Wont Let Go, Rascal Flatts,2011,You, Chris Young,2011
656,You And Tequila, Kenny Chesney Featuring Grace Potter,2011,Rack City, Tyga,2011
657,Where Them Girls At, David Guetta Featuring Flo Rida & Nicki Minaj,2011,Blackout, Breathe Carolina,2011
658,Remind Me, Brad Paisley Duet With Carrie Underwood,2011,You And I, Lady Gaga,2011
659,California King Bed, Rihanna,2011,Strange Clouds, B.o.B Featuring Lil Wayne,2011
660,Racks, YC Featuring Future,2011,Take Care, Drake Featuring Rihanna,2011
661,Homeboy, Eric Church,2011,A Thousand Years, Christina Perri,2011
662,Man Down, Rihanna,2011,Brighter Than The Sun, Colbie Caillat,2011
663,Run The World (Girls), Beyonce,2011,Lonely Boy, The Black Keys,2011
664,Never Gonna Leave This Bed, Maroon 5,2011,Ours, Taylor Swift,2011
665,The Story Of Us, Taylor Swift,2011,Baggage Claim, Miranda Lambert,2011
666,Am I The Only One, Dierks Bentley,2011,Heartbeat, The Fray,2011
667,I Love You This Big, Scotty McCreery,2011,Tonight Is The Night, Outasight,2011
668,Crazy Girl, Eli Young Band,2011,Tongue Tied, Grouplove,2011
669,Out Of My Head, Lupe Fiasco Featuring Trey Songz,2011,When We Stand Together, Nickelback,2011
670,I Need A Doctor, Dr. Dre Featuring Eminem & Skylar Grey,2011,Cant Get Enough, J. Cole Featuring Trey Songz,2011
671,Pumped Up Kicks, Foster The People,2011,You The Boss, Rick Ross Featuring Nicki Minaj,2011
672,Pause, Pitbull,2011,That Way, Wale Featuring Jeremih & Rick Ross,2011
673,Bleed Red, Ronnie Dunn,2011,Im Gonna Love You Through It, Martina McBride,2011
674,Best Thing I Never Had, Beyonce,2011,The Trouble With Girls, Scotty McCreery,2011
675,John, Lil Wayne Featuring Rick Ross,2011,Man In The Mirror, Glee Cast,2011
676,Heart Like Mine, Miranda Lambert,2011,Home, Dierks Bentley,2011
677,Heartless, Dia Frampton,2011,I Got You, Thompson Square,2011
678,Hustle Hard, Ace Hood,2011,Reality, Kenny Chesney,2011
679,Right There, Nicole Scherzinger Featuring 50 Cent,2011,Levels, Avicii,2011
680,Country Song, Seether,2011,Shake It Out, Florence + The Machine,2011
681,Far Away, Marsha Ambrosius,2011,Nothing, The Script,2011
682,Take A Back Road, Rodney Atkins,2011,Roman In Moscow, Nicki Minaj,2011
683,The Cave, Mumford & Sons,2011,Wish You Were Here, Avril Lavigne,2011
684,Keep Your Head Up, Andy Grammer,2011,Sparks Fly, Taylor Swift,2011
685,Best Friends Brother, Victorious Cast Featuring Victoria Justice,2011,Storm Warning, Hunter Hayes,2011
686,Unusual, Trey Songz Featuring Drake,2011,Bait A Hook, Justin Moore,2011
687,Im Into You, Jennifer Lopez Featuring Lil Wayne,2011,ABC, Glee Cast,2011
688,Just Fishin, Trace Adkins,2011,Promise, Romeo Santos Featuring Usher,2011
689,I Smile, Kirk Franklin,2011,Alone With You, Jake Owen,2011
690,Somewhere Else, Toby Keith,2011,You Gonna Fly, Keith Urban,2011
691,Judas, Lady Gaga,2011,Red Solo Cup, Glee Cast,2011
692,Bow Chicka Wow Wow, Mike Posner Featuring Lil Wayne,2011,Ill Be Home For Christmas, Kelly Clarkson,2011
693,Bang Bang Bang, Selena Gomez & The Scene,2011,Crawling Back To You, Daughtry,2011
694,Made In America, Toby Keith,2011,Camouflage, Brad Paisley,2011
695,Not Over You, Gavin DeGraw,2011,Body 2 Body, Ace Hood Featuring Chris Brown,2011
696,You, Romeo Santos,2011,Round Of Applause, Waka Flocka Flame Featuring Drake,2011
697,Did It Onem, Nicki Minaj,2011,Love On Top, Beyonce,2011
698,Donald Trump, Mac Miller,2011,Amen, Edens Edge,2011
699,Teenage Daughters, Martina McBride,2011,Sail, AWOLNATION,2011
700,California Gurls, Katy Perry Featuring Snoop Dogg,2010,Firework, Katy Perry,2010
701,OMG, Usher Featuring will.i.am,2010,Whats My Name?, Rihanna Featuring Drake,2010
702,Airplanes, B.o.B Featuring Hayley Williams,2010,Grenade, Bruno Mars,2010
703,Billionaire, Travie McCoy Featuring Bruno Mars,2010,Raise Your Glass, P!nk,2010
704,Alejandro, Lady Gaga,2010,We R Who We R, Ke$ha,2010
705,Your Love Is My Drug, Ke$ha,2010,Only Girl (In The World), Rihanna,2010
706,Break Your Heart, Taio Cruz Featuring Ludacris,2010,Just The Way You Are, Bruno Mars,2010
707,Not Afraid, Eminem,2010,The Time (Dirty Bit), The Black Eyed Peas,2010
708,Rock That Body, The Black Eyed Peas,2010,Just A Dream, Nelly,2010
709,Find Your Love, Drake,2010,Bottoms Up, Trey Songz Featuring Nicki Minaj,2010
710,Nothin On You, B.o.B Featuring Bruno Mars,2010,Black And Yellow, Wiz Khalifa,2010
711,"Hey, Soul Sister", Train,2010,Like A G6, Far*East Movement Featuring Cataracs & Dev,2010
712,Bulletproof, La Roux,2010,DJ Got Us Fallin In Love, Usher Featuring Pitbull,2010
713,Cooler Than Me, Mike Posner,2010,Dynamite, Taio Cruz,2010
714,Need You Now, Lady Antebellum,2010,Tonight (Im Lovin You), Enrique Iglesias Featuring Ludacris & DJ Frank E,2010
715,Young Forever, Jay-Z + Mr. Hudson,2010,No Hands, Waka Flocka Flame Featuring Roscoe Dash & Wale,2010
716,My First Kiss, 3OH!3 Featuring Ke$ha,2010,Please Dont Go, Mike Posner,2010
717,Rude Boy, Rihanna,2010,Thats All She Wrote, T.I. Featuring Eminem,2010
718,Ridin Solo, Jason Derulo,2010,Stereo Love, Edward Maya & Vika Jigulina,2010
719,In My Head, Jason Derulo,2010,Teenage Dream, Katy Perry,2010
720,Breakeven, The Script,2010,Animal, Neon Trees,2010
721,Un-Thinkable (Im Ready), Alicia Keys,2010,Yeah 3X, Chris Brown,2010
722,Undo It, Carrie Underwood,2010,F**k You! (Forget You), Cee Lo Green,2010
723,Cant Be Tamed, Miley Cyrus,2010,Coming Home, Diddy - Dirty Money Featuring Skylar Grey,2010
724,Impossible, Shontelle,2010,Secrets, OneRepublic,2010
725,Your Love, Nicki Minaj,2010,Right Thru Me, Nicki Minaj,2010
726,All I Do Is Win," DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",2010,Whip My Hair, Willow,2010
727,Havent Met You Yet, Michael Buble,2010,If I Die Young, The Band Perry,2010
728,The House That Built Me, Miranda Lambert,2010,Right Above It, Lil Wayne Featuring Drake,2010
729,Telephone, Lady Gaga Featuring Beyonce,2010,Club Cant Handle Me, Flo Rida Featuring David Guetta,2010
730,Over, Drake,2010,I Like It, Enrique Iglesias Featuring Pitbull,2010
731,I Like It, Enrique Iglesias Featuring Pitbull,2010,Hey Baby (Drop It To The Floor), Pitbull Featuring T-Pain,2010
732,Never Say Never, Justin Bieber Featuring Jaden Smith,2010,Aston Martin Music, Rick Ross Featuring Drake & Chrisette Michele,2010
733,My Chick Bad, Ludacris Featuring Nicki Minaj,2010,Back To December, Taylor Swift,2010
734,I Made It (Cash Money Heroes)," Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne",2010,Christmas Lights, Coldplay,2010
735,This Afternoon, Nickelback,2010,Deuces, Chris Brown Featuring Tyga & Kevin McCall,2010
736,Faithfully, Glee Cast,2010,Somewhere With You, Kenny Chesney,2010
737,TiK ToK, Ke$ha,2010,No Love, Eminem Featuring Lil Wayne,2010
738,If We Ever Meet Again, Timbaland Featuring Katy Perry,2010,My Kinda Party, Jason Aldean,2010
739,I Gotta Feeling, The Black Eyed Peas,2010,Love The Way You Lie, Eminem Featuring Rihanna,2010
740,Pray For You, Jaron And The Long Road To Love,2010,Felt Good On My Lips, Tim McGraw,2010
741,Whataya Want From Me, Adam Lambert,2010,Love Like Woe, The Ready Set,2010
742,Waka Waka (This Time For Africa), Shakira Featuring Freshlyground,2010,Stuck Like Glue, Sugarland,2010
743,Over The Rainbow, Glee Cast,2010,Cant Be Friends, Trey Songz,2010
744,Dynamite, Taio Cruz,2010,Pretty Girl Rock, Keri Hilson,2010
745,Bad Romance, Lady Gaga,2010,Memories, David Guetta Featuring Kid Cudi,2010
746,Eenie Meenie, Sean Kingston & Justin Bieber,2010,As Shes Walking Away, Zac Brown Band Featuring Alan Jackson,2010
747,Somebody To Love, Justin Bieber Featuring Usher,2010,Dog Days Are Over, Florence + The Machine,2010
748,Water, Brad Paisley,2010,Jar Of Hearts, Christina Perri,2010
749,Miss Me, Drake Featuring Lil Wayne,2010,Mine, Taylor Swift,2010
750,Rain Is A Good Thing, Luke Bryan,2010,We No Speak Americano, Yolanda Be Cool & Dcup,2010
751,There Goes My Baby, Usher,2010,Kush, Dr. Dre Featuring Snoop Dogg & Akon,2010
752,"Lover, Lover", Jerrod Niemann,2010,Turn On The Radio, Reba,2010
753,Free, Zac Brown Band,2010,Who Are You When Im Not Looking, Blake Shelton,2010
754,She Wont Be Lonely Long, Clay Walker,2010,Rhythm of Love, Plain White T's,2010
755,Lose My Mind, Young Jeezy Featuring Plies,2010,Mamas Song, Carrie Underwood,2010
756,Crazy Town, Jason Aldean,2010,"Baby, Its Cold Outside", Glee Cast,2010
757,Any Way You Want It/Lovin Touchin Squeezin, Glee Cast,2010,Why Wait, Rascal Flatts,2010
758,Dont Stop Believin, Glee Cast,2010,Welcome Christmas, Glee Cast,2010
759,Love Like Crazy, Lee Brice,2010,Rocketeer, Far*East Movement Featuring Ryan Tedder,2010
760,Hello Good Morning, Diddy - Dirty Money Featuring T.I.,2010,Put You In A Song, Keith Urban,2010
761,Gettin Over You, David Guetta & Chris Willis Featuring Fergie & LMFAO,2010,Down On Me, Jeremih Featuring 50 Cent,2010
762,Got Your Back, T.I. Featuring Keri Hilson,2010,Only Prettier, Miranda Lambert,2010
763,I Never Told You, Colbie Caillat,2010,Lay It Down, Lloyd,2010
764,Ride, Ciara Featuring Ludacris,2010,Hold My Hand, Michael Jackson Duet With Akon,2010
765,Bionic, Christina Aguilera,2010,The Breath You Take, George Strait,2010
766,Beautiful Monster, Ne-Yo,2010,Who Dat Girl, Flo Rida Featuring Akon,2010
767,Gimmie That Girl, Joe Nichols,2010,Rolling In The Deep, Adele,2010
768,The Man I Want To Be, Chris Young,2010,Voices, Chris Young,2010
769,Hey, Lil Jon Featuring 3OH!3,2010,Dont You Wanna Stay, Jason Aldean With Kelly Clarkson,2010
770,Winner, Jamie Foxx Featuring Justin Timberlake & T .I.,2010,Let Me Down Easy, Billy Currington,2010
771,Sex Room, Ludacris Featuring Trey Songz,2010,Anything Like Me, Brad Paisley,2010
772,Not Myself Tonight, Christina Aguilera,2010,Runaway, Kanye West Featuring Pusha T,2010
773,Lil Freak, Usher Featuring Nicki Minaj,2010,Waiting For The End, Linkin Park,2010
774,To Sir With Love, Glee Cast,2010,Fancy, Drake Featuring T.I. & Swizz Beatz,2010
775,Teach Me How To Dougie, Cali Swag District,2010,Maybe, Sick Puppies,2010
776,Wrong Baby Wrong, Martina McBride,2010,Hello World, Lady Antebellum,2010
777,Im Back, T.I.,2010,Someone Else Calling You Baby, Luke Bryan,2010
778,I Keep On Loving You, Reba,2010,All I Want Is You, Miguel Featuring J. Cole,2010
779,Pretty Good At Drinkin Beer, Billy Currington,2010,Make A Movie, Twista Featuring Chris Brown,2010
780,The Only Exception, Paramore,2010,Little Lion Man, Mumford & Sons,2010
781,Im In, Keith Urban,2010,Fire Flame, Birdman Featuring Lil Wayne,2010
782,Shark In The Water, V V Brown,2010,Angel, Akon,2010
783,Bohemian Rhapsody, Glee Cast Featuring Jonathan Groff,2010,Bullets In The Gun, Toby Keith,2010
784,Glitter In The Air, P!nk,2010,Marry Me, Train,2010
785,Neighbors Know My Name, Trey Songz,2010,Letting Go (Dutty Love), Sean Kingston Featuring Nicki Minaj,2010
786,Little White Church, Little Big Town,2010,Smoke A Little Smoke, Eric Church,2010
787,Half Of My Heart, John Mayer,2010,Shake, Jesse McCartney,2010
788,Wavin Flag, K'Naan,2010,No BS, Chris Brown,2010
789,If Its Love, Train,2010,Loca, Shakira Featuring Dizzee Rascal,2010
790,Hold You (Hold Yuh), Gyptian,2010,Strip Me, Natasha Bedingfield,2010
791,"Beamer, Benz, Or Bentley", Lloyd Banks Featuring Juelz Santana,2010,Forget You, Glee Cast Featuring Gwyneth Paltrow,2010
792,Animal, Neon Trees,2010,Monster," Kanye West Featuring Jay-Z, Rick Ross, Bon Iver & Nicki Minaj",2010
793,Poker Face, Glee Cast,2010,Bass Down Low, Dev Featuring The Cataracs,2010
794,I Gotta Get To You, George Strait,2010,Fall For Your Type, Jamie Foxx Featuring Drake,2010
795,Keep On Lovin You, Steel Magnolia,2010,September, Daughtry,2010
796,Everything To Me, Monica,2010,One In A Million, Ne-Yo,2010
797,Secrets, OneRepublic,2010,Marry You, Bruno Mars,2010
798,Woohoo, Christina Aguilera Featuring Nicki Minaj,2010,Porn Star Dancing, My Darkest Days Featuring Zakk Wylde,2010
799,Yeah Ya Know (Takers), T.I.,2010,"Bon, Bon", Pitbull,2010
800,Boom Boom Pow, The Black Eyed Peas,2009,Empire State Of Mind, Jay-Z + Alicia Keys,2009
801,I Know You Want Me (Calle Ocho), Pitbull,2009,TiK ToK, Ke$ha,2009
802,Knock You Down, Keri Hilson Featuring Kanye West & Ne-Yo,2009,Bad Romance, Lady Gaga,2009
803,Birthday Sex, Jeremih,2009,Replay, Iyaz,2009
804,Poker Face, Lady Gaga,2009,Fireflies, Owl City,2009
805,LoveGame, Lady Gaga,2009,Sexy Chick, David Guetta Featuring Akon,2009
806,Second Chance, Shinedown,2009,Whatcha Say, Jason Derulo,2009
807,Halo, Beyonce,2009,Meet Me Halfway, The Black Eyed Peas,2009
808,Fire Burning, Sean Kingston,2009,3, Britney Spears,2009
809,Blame It, Jamie Foxx Featuring T-Pain,2009,Down, Jay Sean Featuring Lil Wayne,2009
810,Day N Nite, Kid Cudi,2009,Paparazzi, Lady Gaga,2009
811,Waking Up In Vegas, Katy Perry,2009,Sweet Dreams, Beyonce,2009
812,The Climb, Miley Cyrus,2009,How Low, Ludacris,2009
813,Dont Trust Me, 3OH!3,2009,Forever," Drake Featuring Kanye West, Lil Wayne & Eminem",2009
814,Goodbye, Kristinia DeBarge,2009,Already Gone, Kelly Clarkson,2009
815,Out Last Night, Kenny Chesney,2009,Do You Remember, Jay Sean Featuring Sean Paul & Lil Jon,2009
816,Sugar, Flo Rida Featuring Wynter,2009,Party In The U.S.A., Miley Cyrus,2009
817,Right Round, Flo Rida,2009,I Gotta Feeling, The Black Eyed Peas,2009
818,Use Somebody, Kings Of Leon,2009,Need You Now, Lady Antebellum,2009
819,I Do Not Hook Up, Kelly Clarkson,2009,BedRock, Young Money Featuring Lloyd,2009
820,Please Dont Leave Me, P!nk,2009,Hard, Rihanna Featuring Jeezy,2009
821,Turn My Swag On, Soulja Boy Tell'em,2009,You Belong With Me, Taylor Swift,2009
822,If Today Was Your Last Day, Nickelback,2009,Use Somebody, Kings Of Leon,2009
823,You Found Me, The Fray,2009,I Can Transform Ya, Chris Brown Featuring Lil Wayne & Swizz Beatz,2009
824,Kiss Me Thru The Phone, Soulja Boy Tell 'em Featuring Sammie,2009,Evacuate The Dancefloor, Cascada,2009
825,Love Story, Taylor Swift,2009,Money To Blow, Birdman Featuring Lil Wayne & Drake,2009
826,My Life Would Suck Without You, Kelly Clarkson,2009,Fifteen, Taylor Swift,2009
827,Gives You Hell, The All-American Rejects,2009,Two Is Better Than One, Boys Like Girls Featuring Taylor Swift,2009
828,Just Dance, Lady Gaga Featuring Colby O'Donis,2009,Baby By Me, 50 Cent Featuring Ne-Yo,2009
829,Whatever It Is, Zac Brown Band,2009,Cowboy Casanova, Carrie Underwood,2009
830,Kiss A Girl, Keith Urban,2009,Carry Out, Timbaland Featuring Justin Timberlake,2009
831,You Belong With Me, Taylor Swift,2009,Run This Town," Jay-Z, Rihanna & Kanye West",2009
832,Im Yours, Jason Mraz,2009,Tie Me Down, New Boyz Featuring Ray J,2009
833,Dead And Gone, T.I. Featuring Justin Timberlake,2009,Give It Up To Me, Shakira Featuring Lil Wayne,2009
834,Then, Brad Paisley,2009,Gangsta Luv, Snoop Dogg Featuring The-Dream,2009
835,Best I Ever Had, Drake,2009,Live Like Were Dying, Kris Allen,2009
836,If U Seek Amy, Britney Spears,2009,Do I, Luke Bryan,2009
837,I Run To You, Lady Antebellum,2009,Say Aah, Trey Songz Featuring Fabolous,2009
838,Sideways, Dierks Bentley,2009,Fallin For You, Colbie Caillat,2009
839,Know Your Enemy, Green Day,2009,Consider Me Gone, Reba,2009
840,All The Above, Maino Featuring T-Pain,2009,One Time, Justin Bieber,2009
841,We Made You, Eminem,2009,Spotlight, Gucci Mane Featuring Usher,2009
842,New Divide, Linkin Park,2009,I Invented Sex, Trey Songz Featuring Drake,2009
843,Boyfriend #2, Pleasure P,2009,Russian Roulette, Rihanna,2009
844,People Are Crazy, Billy Currington,2009,"Hey, Soul Sister", Train,2009
845,Funny The Way It Is, Dave Matthews Band,2009,Telephone, Lady Gaga Featuring Beyonce,2009
846,"1, 2, 3, 4", Plain White T's,2009,If You Only Knew, Shinedown,2009
847,Best Days Of Your Life, Kellie Pickler,2009,The Truth, Jason Aldean,2009
848,Every Girl, Young Money,2009,White Liar, Miranda Lambert,2009
849,It Happens, Sugarland,2009,Southern Voice, Tim McGraw,2009
850,No Surprise, Daughtry,2009,My Life Would Suck Without You, Glee Cast,2009
851,Her Diamonds, Rob Thomas,2009,I Wanna Make You Close Your Eyes, Dierks Bentley,2009
852,Halle Berry (Shes Fine), Hurricane Chris Featuring SupaSTAAR,2009,Dont Rain On My Parade, Glee Cast,2009
853,One In Every Crowd, Montgomery Gentry,2009,It Kills Me, Melanie Fiona,2009
854,How Do You Sleep?, Jesse McCartney Featuring Ludacris,2009,According To You, Orianthi,2009
855,Im On A Boat, The Lonely Island Featuring T-Pain,2009,Try Sleeping With A Broken Heart, Alicia Keys,2009
856,Echo, Gorilla Zoe,2009,Papers, Usher,2009
857,Alright, Darius Rucker,2009,Smile, Uncle Kracker,2009
858,Not Meant To Be, Theory Of A Deadman,2009,Red Light, David Nail,2009
859,Welcome To The World, Kevin Rudolf Featuring Rick Ross,2009,Crawl, Chris Brown,2009
860,Sissys Song, Alan Jackson,2009,Never Gonna Be Alone, Nickelback,2009
861,Summer Nights, Rascal Flatts,2009,On Fire, Lil Wayne,2009
862,Swag Surfin, F.L.Y. (Fast Life Yungstaz),2009,In My Head, Jason Derulo,2009
863,Where Im From, Jason Michael Carroll,2009,Life After You, Daughtry,2009
864,Battlefield, Jordin Sparks,2009,Bonfire, Craig Morgan,2009
865,Careless Whisper, Seether,2009,Uprising, Muse,2009
866,Show Me What Im Looking For, Carolina Liar,2009,I Am, Mary J. Blige,2009
867,Always Strapped, Birdman Featuring Lil Wayne,2009,Wasted, Gucci Mane Featuring Plies Or OJ Da Juiceman,2009
868,Paranoid, Jonas Brothers,2009,Body Language, Jesse McCartney Featuring T-Pain,2009
869,Hey, Mitchel Musso,2009,History In The Making, Darius Rucker,2009
870,Pretty Wings, Maxwell,2009,You Cant Always Get What You Want, Glee Cast,2009
871,Wetter (Calling You Daddy), Twista Featuring Erika Shevon,2009,This Is War, Thirty Seconds To Mars,2009
872,Come Back To Me, David Cook,2009,One Less Lonely Girl, Justin Bieber,2009
873,Boots On, Randy Houser,2009,Havent Met You Yet, Michael Buble,2009
874,I Need A Girl, Trey Songz,2009,Why Dont We Just Dance, Josh Turner,2009
875,Wild At Heart, Gloriana,2009,Someday, Rob Thomas,2009
876,Ego, Beyonce,2009,Eight Second Ride, Jake Owen,2009
877,No Boundaries, Kris Allen,2009,Bad Habits, Maxwell,2009
878,Lost You Anyway, Toby Keith,2009,All The Right Moves, OneRepublic,2009
879,Strange, Reba,2009,I Wanna Rock, Snoop Dogg,2009
880,Ice Cream Paint Job, Dorrough,2009,I Will Not Bow, Breaking Benjamin,2009
881,Dont Stop Believin, Glee Cast,2009,Kings And Queens, Thirty Seconds To Mars,2009
882,Its America, Rodney Atkins,2009,Shut It Down, Pitbull Featuring Akon,2009
883,Heartless, Kris Allen,2009,Break, Three Days Grace,2009
884,Beggin, Madcon,2009,Thats How Country Boys Roll, Billy Currington,2009
885,Here Comes Goodbye, Rascal Flatts,2009,Gettin You Home, Chris Young,2009
886,I Told You So, Carrie Underwood Featuring Randy Travis,2009,1901, Phoenix,2009
887,Small Town USA, Justin Moore,2009,What I Do, Chris Brown Featuring Plies,2009
888,sobeautiful, Musiq Soulchild,2009,Last Christmas, Glee Cast,2009
889,I Love College, Asher Roth,2009,American Saturday Night, Brad Paisley,2009
890,Good Girls Go Bad, Cobra Starship Featuring Leighton Meester,2009,Cryin For Me (Waymans Song), Toby Keith,2009
891,Aint No Rest For The Wicked, Cage The Elephant,2009,I Get It In, Omarion Featuring Gucci Mane,2009
892,Walkin On The Moon, The-Dream Featuring Kanye West,2009,Breakeven, The Script,2009
893,Throw It In The Bag, Fabolous Featuring The-Dream,2009,And I Am Telling You Im Not Going, Glee Cast,2009
894,Last Chance, Ginuwine,2009,(If Youre Wondering If I Want You To) I Want You To, Weezer,2009
895,Hoedown Throwdown, Miley Cyrus,2009,Im Going In, Drake Featuring Lil Wayne & Young Jeezy,2009
896,Aint I, Yung L.A. Featuring Young Dro & T.I.,2009,Video Phone, Beyonce Featuring Lady Gaga,2009
897,On The Ocean, K'Jon,2009,Drop It Low, Ester Dean Featuring Chris Brown,2009
898,Take Me On The Floor, The Veronicas,2009,Halfway Gone, Lifehouse,2009
899,Mad World, Adam Lambert,2009,Twang, George Strait,2009
900,Lollipop, Lil Wayne Featuring Static Major,2008,Live Your Life, T.I. Featuring Rihanna,2008
901,Viva La Vida, Coldplay,2008,Single Ladies (Put A Ring On It), Beyonce,2008
902,Bleeding Love, Leona Lewis,2008,Circus, Britney Spears,2008
903,I Kissed A Girl, Katy Perry,2008,Just Dance, Lady Gaga Featuring Colby O'Donis,2008
904,Take A Bow, Rihanna,2008,Whatever You Like, T.I.,2008
905,Love In This Club, Usher Featuring Young Jeezy,2008,If I Were A Boy, Beyonce,2008
906,No Air, Jordin Sparks Duet With Chris Brown,2008,Hot N Cold, Katy Perry,2008
907,Sexy Can I, Ray J & Yung Berg,2008,Love Lockdown, Kanye West,2008
908,Pocketful Of Sunshine, Natasha Bedingfield,2008,Miss Independent, Ne-Yo,2008
909,4 Minutes, Madonna Featuring Justin Timberlake & Timbaland,2008,Womanizer, Britney Spears,2008
910,Forever, Chris Brown,2008,Im Yours, Jason Mraz,2008
911,Bust It Baby Part 2, Plies Featuring Ne-Yo,2008,Love Story, Taylor Swift,2008
912,Damaged, Danity Kane,2008,Right Now (Na Na Na), Akon,2008
913,Shake It, Metro Station,2008,So What, P!nk,2008
